,Song 1970,Artist 1970,Song 1971,Artist 1971,Song 1972,Artist 1972,Song 1973,Artist 1973,Song 1974,Artist 1974,Song 1975,Artist 1975,Song 1976,Artist 1976,Song 1977,Artist 1977,Song 1978,Artist 1978,Song 1979,Artist 1979,Song 1980,Artist 1980,Song 1981,Artist 1981,Song 1982,Artist 1982,Song 1983,Artist 1983,Song 1984,Artist 1984,Song 1985,Artist 1985,Song 1986,Artist 1986,Song 1987,Artist 1987,Song 1988,Artist 1988,Song 1989,Artist 1989,Song 1990,Artist 1990,Song 1991,Artist 1991,Song 1992,Artist 1992,Song 1993,Artist 1993,Song 1994,Artist 1994,Song 1995,Artist 1995,Song 1996,Artist 1996,Song 1997,Artist 1997,Song 1998,Artist 1998,Song 1999,Artist 1999,Song 2000,Artist 2000,Song 2001,Artist 2001,Song 2002,Artist 2002,Song 2003,Artist 2003,Song 2004,Artist 2004,Song 2005,Artist 2005,Song 2006,Artist 2006,Song 2007,Artist 2007,Song 2008,Artist 2008,Song 2009,Artist 2009,Song 2010,Artist 2010,Song 2011,Artist 2011,Song 2012,Artist 2012,Song 2013,Artist 2013,Song 2014,Artist 2014,Song 2015,Artist 2015,Song 2016,Artist 2016,Song 2017,Artist 2017,Song 2018,Artist 2018,Song 2019,Artist 2019
38,(I Know) I'm Losing You,Rare Earth,Sweet City Woman,Stampeders,Hold Your Head Up,Argent,Smoke On The Water,Deep Purple,The Entertainer,Marvin Hamlisch,Fallin' In Love,"Hamilton, Joe Frank & Reynolds",Lowdown,Boz Scaggs,Handy Man,James Taylor,Goodbye Girl,David Gates,Heaven Must Have Sent You,Bonnie Pointer,Him,Rupert Holmes,Time,The Alan Parsons Project,Making Love,Roberta Flack,Goody Two Shoes,Adam Ant,Twist of Fate,Olivia Newton-John,Things Can Only Get Better,Howard Jones,No One Is To Blame,Howard Jones,Causing A Commotion,Madonna,Monkey,George Michael,Every Little Step,Bobby Brown,Ice Ice Baby,Vanilla Ice,Because Of You,Kelly Clarkson,Because Of You,Kelly Clarkson,Because Of You,Kelly Clarkson,Because Of You,Kelly Clarkson,Because Of You,Kelly Clarkson,Because Of You,Kelly Clarkson,Because Of You,Kelly Clarkson,Because Of You,Kelly Clarkson,Because Of You,Kelly Clarkson,Because Of You,Kelly Clarkson,Because Of You,Kelly Clarkson,Because Of You,Kelly Clarkson,Because Of You,Kelly Clarkson,Because Of You,Kelly Clarkson,Because Of You,Kelly Clarkson,Because Of You,Kelly Clarkson,Summer Love,Justin Timberlake,American Boy,Estelle Featuring Kanye West,Womanizer,Britney Spears,Haven't Met You Yet,Michael Buble,Only Girl (In The World),Rihanna,Give Your Heart A Break,Demi Lovato,Love Me,Lil Wayne Featuring Drake & Future,Burn,Ellie Goulding,Time Of Our Lives,Pitbull & Ne-Yo,Here,Alessia Cara,Look What You Made Me Do,Taylor Swift,I Fall Apart,Post Malone,You Need To Calm Down,Taylor Swift
39,"Easy Come, Easy Go",Bobby Sherman,If,Bread,Everything I Own,Bread,Behind Closed Doors,Charlie Rich,Waterloo,ABBA,Feelings,Morris Albert,Show Me The Way,Peter Frampton,You And Me,Alice Cooper,Slip Slidin' Away,Paul Simon,Hold The Line,Toto,On The Radio,Donna Summer,Hungry Heart,Bruce Springsteen,Love's Been A Little Bit Hard On Me,Juice Newton,Rock The Casbah,The Clash,UNION OF THE SNAKE,Duran Duran,All I Need,Jack Wagner,Let's Go All The Way,Sly Fox,In Too Deep,Genesis,Devil Inside,INXS,Hangin' Tough,New Kids On The Block,Blame It On The Rain,Milli Vanilli,Stickwitu,The Pussycat Dolls,Stickwitu,The Pussycat Dolls,Stickwitu,The Pussycat Dolls,Stickwitu,The Pussycat Dolls,Stickwitu,The Pussycat Dolls,Stickwitu,The Pussycat Dolls,Stickwitu,The Pussycat Dolls,Stickwitu,The Pussycat Dolls,Stickwitu,The Pussycat Dolls,Stickwitu,The Pussycat Dolls,Stickwitu,The Pussycat Dolls,Stickwitu,The Pussycat Dolls,Stickwitu,The Pussycat Dolls,Stickwitu,The Pussycat Dolls,Stickwitu,The Pussycat Dolls,Stickwitu,The Pussycat Dolls,You,Lloyd Featuring Lil Wayne,Got Money,Lil Wayne Featuring T-Pain,Whatever You Like,T.I.,Club Can't Handle Me,Flo Rida Featuring David Guetta,6 Foot 7 Foot,Lil Wayne Featuring Cory Gunz,Ni**as in Paris,Jay Z Kanye West,My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,Wiggle,Jason Derulo Featuring Snoop Dogg,Locked Away,R. City Featuring Adam Levine,Same Old Love,Selena Gomez,Castle On The Hill,Ed Sheeran,Pray For Me,The Weeknd & Kendrick Lamar,Panini,Lil Nas X
40,Still Water (Love),Four Tops,"Mercy, Mercy Me (The Ecology)",Marvin Gaye,In The Rain,The Dramatics,Your Mama Don't Dance,Loggins & Messina,The Air That I Breathe,The Hollies,When Will I Be Loved,Linda Ronstadt,Dream On,Aerosmith,Swayin' To The Music (Slow Dancin'),Johnny Rivers,The Groove Line,Heatwave,He's The Greatest Dancer,Sister Sledge,Emotional Rescue,The Rolling Stones,Sweetheart,Franke & The Knockouts,Young Turks,Rod Stewart,OUR HOUSE,Madness,Hard Habit To Break,Chicago,Freeway Of Love,Aretha Franklin,Words Get In the Way,Miami Sound Machine,Let's Wait Awhile,Janet Jackson,Should've Known Better,Richard Marx,My Heart Can't Tell You No,Rod Stewart,Have You Seen Her,M.C. Hammer,I'm N Luv (Wit A Stripper),T-Pain Featuring Mike Jones,I'm N Luv (Wit A Stripper),T-Pain Featuring Mike Jones,I'm N Luv (Wit A Stripper),T-Pain Featuring Mike Jones,I'm N Luv (Wit A Stripper),T-Pain Featuring Mike Jones,I'm N Luv (Wit A Stripper),T-Pain Featuring Mike Jones,I'm N Luv (Wit A Stripper),T-Pain Featuring Mike Jones,I'm N Luv (Wit A Stripper),T-Pain Featuring Mike Jones,I'm N Luv (Wit A Stripper),T-Pain Featuring Mike Jones,I'm N Luv (Wit A Stripper),T-Pain Featuring Mike Jones,I'm N Luv (Wit A Stripper),T-Pain Featuring Mike Jones,I'm N Luv (Wit A Stripper),T-Pain Featuring Mike Jones,I'm N Luv (Wit A Stripper),T-Pain Featuring Mike Jones,I'm N Luv (Wit A Stripper),T-Pain Featuring Mike Jones,I'm N Luv (Wit A Stripper),T-Pain Featuring Mike Jones,I'm N Luv (Wit A Stripper),T-Pain Featuring Mike Jones,I'm N Luv (Wit A Stripper),T-Pain Featuring Mike Jones,Wait For You,Elliott Yamin,Our Song,Taylor Swift,Obsessed,Mariah Carey,Down,Jay Sean Featuring Lil Wayne,Just A Kiss,Lady Antebellum,The One That Got Away,Katy Perry,F**kin Problems,"A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar",Rather Be,Clean Bandit Featuring Jess Glynne,Somebody,Natalie La Rose Featuring Jeremih,Controlla,Drake,Bad Things,Machine Gun Kelly x Camila Cabello,Back To You,Selena Gomez,Look Back At It,A Boogie Wit da Hoodie
41,Make Me Smile,Chicago,Bring The Boys Home,Freda Payne,Look What You Done For Me,Al Green,Feelin' Stronger Every Day,Chicago,Rikki Don't Lose That Number,Steely Dan,Chevy Van,Sammy Johns,I Love Music (Part 1),The O'Jays,Lonely Boy,Andrew Gold,Thunder Island,Jay Ferguson,Sharing The Night Together,Dr. Hook,Rise,Herb Alpert,Somebody's Knockin',Terri Gibbs,Freeze-frame,The J. Geils Band,Overkill,Men At Work,The Warrior,Scandal Featuring Patty Smyth,Never Surrender,Corey Hart,Walk Of Life,Dire Straits,Hip To Be Square,Huey Lewis & The News,I Don't Wanna Live Without Your Love,Chicago,You Got It (The Right Stuff),New Kids On The Block,With Every Beat Of My Heart,Taylor Dayne,My Humps,The Black Eyed Peas,My Humps,The Black Eyed Peas,My Humps,The Black Eyed Peas,My Humps,The Black Eyed Peas,My Humps,The Black Eyed Peas,My Humps,The Black Eyed Peas,My Humps,The Black Eyed Peas,My Humps,The Black Eyed Peas,My Humps,The Black Eyed Peas,My Humps,The Black Eyed Peas,My Humps,The Black Eyed Peas,My Humps,The Black Eyed Peas,My Humps,The Black Eyed Peas,My Humps,The Black Eyed Peas,My Humps,The Black Eyed Peas,My Humps,The Black Eyed Peas,Last Night,Diddy Featuring Keyshia Cole,Damaged,Danity Kane,Mad,Ne-Yo,Bulletproof,La Roux,Dirt Road Anthem,Jason Aldean,Feel So Close,Calvin Harris,Beauty And A Beat,Justin Bieber Featuring Nicki Minaj,Don't Tell 'Em,Jeremih Featuring YG,FourFiveSeconds,Rihanna & Kanye West & Paul McCartney,Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,Paris,The Chainsmokers,Sicko Mode,Travis Scott,A Lot,21 Savage
42,House Of The Rising Sun,Frijid Pink,I Just Want To Celebrate,Rare Earth,Where Is The Love,Roberta Flack & Donny Hathaway,Cisco Kid,War,Help Me,Joni Mitchell,"You're The First, The Last, My Everything",Barry White,Say You Love Me,Fleetwood Mac,I Wish,Stevie Wonder,Imaginary Lover,Atlanta Rhythm Section,She Believes In Me,Kenny Rogers,All Out Of Love,Air Supply,More Than I Can Say,Leo Sayer,Keep The Fire Burnin',REO Speedwagon,Is There Something I Should Know,Duran Duran,If Ever You're In My Arms Again,Peabo Bryson,Sussudio,Phil Collins,Amanda,Boston,Will You Still Love Me?,Chicago,The Loco-Motion,Kylie Minogue,Armageddon It,Def Leppard,Come Back To Me,Janet Jackson,Where'd You Go,Fort Minor Featuring Holly Brook,Where'd You Go,Fort Minor Featuring Holly Brook,Where'd You Go,Fort Minor Featuring Holly Brook,Where'd You Go,Fort Minor Featuring Holly Brook,Where'd You Go,Fort Minor Featuring Holly Brook,Where'd You Go,Fort Minor Featuring Holly Brook,Where'd You Go,Fort Minor Featuring Holly Brook,Where'd You Go,Fort Minor Featuring Holly Brook,Where'd You Go,Fort Minor Featuring Holly Brook,Where'd You Go,Fort Minor Featuring Holly Brook,Where'd You Go,Fort Minor Featuring Holly Brook,Where'd You Go,Fort Minor Featuring Holly Brook,Where'd You Go,Fort Minor Featuring Holly Brook,Where'd You Go,Fort Minor Featuring Holly Brook,Where'd You Go,Fort Minor Featuring Holly Brook,Where'd You Go,Fort Minor Featuring Holly Brook,Make It Rain,Fat Joe Featuring Lil Wayne,A Milli,Lil Wayne,Good Girls Go Bad,Cobra Starship Featuring Leighton Meester,Whatcha Say,Jason Derulo,Dynamite,Taio Cruz,Someone Like You,Adele,Same Love,Macklemore & Ryan Lewis Featuring Mary Lambert,Show Me,Kid Ink Featuring Chris Brown,Centuries,Fall Out Boy,One Call Away,Charlie Puth,Side To Side,Ariana Grande Featuring Nicki Minaj,Walk It Talk It,Migos Featuring Drake,ME!,Taylor Swift Featuring Brendon Urie
43,25 Or 6 To 4,Chicago,Never Ending Song Of Love,Delaney & Bonnie & Friends,Bang A Gong (Get It On),T. Rex,Live And Let Die,Wings,You Won't See Me,Anne Murray,Please Mr. Please,Olivia Newton-John,Devil Woman,Cliff Richard,Don't Stop,Fleetwood Mac,Still The Same,Bob Seger & The Silver Bullet Band,In The Navy,Village People,Cool Change,Little River Band,Together,Tierra,Do You Believe In Love,Huey Lewis & The News,Gloria,Laura Branigan,Automatic,The Pointer Sisters,Strut,Sheena Easton,Two Of Hearts,Stacey Q,Little Lies,Fleetwood Mac,What Have I Done To Deserve This?,Pet Shop Boys & Dusty Springfield,Satisfied,Richard Marx,No More Lies,Michel'le,Yo (Excuse Me Miss),Chris Brown,Yo (Excuse Me Miss),Chris Brown,Yo (Excuse Me Miss),Chris Brown,Yo (Excuse Me Miss),Chris Brown,Yo (Excuse Me Miss),Chris Brown,Yo (Excuse Me Miss),Chris Brown,Yo (Excuse Me Miss),Chris Brown,Yo (Excuse Me Miss),Chris Brown,Yo (Excuse Me Miss),Chris Brown,Yo (Excuse Me Miss),Chris Brown,Yo (Excuse Me Miss),Chris Brown,Yo (Excuse Me Miss),Chris Brown,Yo (Excuse Me Miss),Chris Brown,Yo (Excuse Me Miss),Chris Brown,Yo (Excuse Me Miss),Chris Brown,Yo (Excuse Me Miss),Chris Brown,Make Me Better,Fabolous Featuring Ne-Yo,Sorry,Buckcherry,Love Lockdown,Kanye West,Baby,Justin Bieber Featuring Ludacris,No Hands,Waka Flocka Flame Featuring Roscoe Dash & Wale,Scream,Usher,Sweet Nothing,Calvin Harris Featuring Florence Welch,Wrecking Ball,Miley Cyrus,My Way,Fetty Wap Featuring Monty,Let It Go,James Bay,Rockabye,Clean Bandit Featuring Sean Paul & Anne-Marie,Gucci Gang,Lil Pump,MIA,Bad Bunny Featuring Drake
44,My Baby Loves Lovin',White Plains,Easy Loving,Freddie Hart,Mother And Child Reunion,Paul Simon,I Believe In You,Johnnie Taylor,You And Me Against The World,Helen Reddy,You're No Good,Linda Ronstadt,Fooled Around And Fell In Love,Elvin Bishop,Barracuda,Heart,My Angel Baby,Toby Beau,Music Box Dancer,Frank Mills,You're Only Lonely,J.D. Souther,Too Much Time On My Hands,Styx,Cool Night,Paul Davis,Affair Of The Heart,Rick Springfield,LET THE MUSIC PLAY,Shannon,You Give Good Love,Whitney Houston,Crush On You,The Jets,LUKA,Suzanne Vega,Make It Real,The Jets,Express Yourself,Madonna,Praying For Time,George Michael,Walk Away,Kelly Clarkson,Walk Away,Kelly Clarkson,Walk Away,Kelly Clarkson,Walk Away,Kelly Clarkson,Walk Away,Kelly Clarkson,Walk Away,Kelly Clarkson,Walk Away,Kelly Clarkson,Walk Away,Kelly Clarkson,Walk Away,Kelly Clarkson,Walk Away,Kelly Clarkson,Walk Away,Kelly Clarkson,Walk Away,Kelly Clarkson,Walk Away,Kelly Clarkson,Walk Away,Kelly Clarkson,Walk Away,Kelly Clarkson,Walk Away,Kelly Clarkson,Ice Box,Omarion,Independent,Webbie Featuring Lil' Phat & Lil' Boosie,So What,P!nk,Whataya Want From Me,Adam Lambert,I Wanna Go,Britney Spears,Rack City,Tyga,Summertime Sadness,Lana Del Rey & Cedric Gervais,Not A Bad Thing,Justin Timberlake,Take Your Time,Sam Hunt,No,Meghan Trainor,Feel It Still,Portugal. The Man,Him & I,G-Eazy & Halsey,Pop Out,Polo G Featuring Lil Tjay
45,United We Stand,Brotherhood Of Man,Liar,Three Dog Night,I'm Still In Love With You,Al Green,Sing,Carpenters,Be Thankful For What You Got,William DeVaughn,Walking In Rhythm,The Blackbyrds,Convoy,C.W. McCall,Strawberry Letter 23,The Brothers Johnson,Disco Inferno,The Trammps,The Devil Went Down To Georgia,Charlie Daniels Band,Desire,Andy Gibb,What Are We Doin' In Love,Dottie West,Why Do Fools Fall In Love,Diana Ross,She's A Beauty,The Tubes,To All The Girls I've Loved Before,Julio Iglesias & Willie Nelson,The Search Is Over,Survivor,If You Leave,Orchestral Manoeuvres In The Dark,Don't Mean Nothing,Richard Marx,What's On Your Mind (Pure Energy),Information Society,I Like It,Dino,How Can We Be Lovers,Michael Bolton,Laffy Taffy,D4L,Laffy Taffy,D4L,Laffy Taffy,D4L,Laffy Taffy,D4L,Laffy Taffy,D4L,Laffy Taffy,D4L,Laffy Taffy,D4L,Laffy Taffy,D4L,Laffy Taffy,D4L,Laffy Taffy,D4L,Laffy Taffy,D4L,Laffy Taffy,D4L,Laffy Taffy,D4L,Laffy Taffy,D4L,Laffy Taffy,D4L,Laffy Taffy,D4L,Lips Of An Angel,Hinder,Can't Believe It,T-Pain Featuring Lil Wayne,Hotel Room Service,Pitbull,Mine,Taylor Swift,I'm On One,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",Domino,Jessie J,Home,Phillip Phillips,Roar,Katy Perry,Animals,Maroon 5,Never Forget You,Zara Larsson & MNEK,Let Me Love You,DJ Snake Featuring Justin Bieber,In My Blood,Shawn Mendes,Beautiful Crazy,Luke Combs
46,We've Only Just Begun,Carpenters,Stick-Up,The Honey Cone,Layla,Derek & The Dominos,Dueling Banjos,Eric Weissberg & Steve Mandell,Hang On In There Baby,Johnny Bristol,The Way We Were/try To Remember,Gladys Knight And The Pips,Welcome Back,John Sebastian,Night Moves,Bob Seger & The Silver Bullet Band,On Broadway,George Benson,Gold,John Stewart,Let My Love Open The Door,Pete Townshend,Who's Crying Now,Journey,Love In The First Degree,Alabama,Solitaire,Laura Branigan,That's All,Genesis,Missing You,Diana Ross,Invisible Touch,Genesis,Songbird,Kenny G,Tell It To My Heart,Taylor Dayne,Soldier Of Love,Donny Osmond,Do You Remember?,Phil Collins,What You Know,T.I.,What You Know,T.I.,What You Know,T.I.,What You Know,T.I.,What You Know,T.I.,What You Know,T.I.,What You Know,T.I.,What You Know,T.I.,What You Know,T.I.,What You Know,T.I.,What You Know,T.I.,What You Know,T.I.,What You Know,T.I.,What You Know,T.I.,What You Know,T.I.,What You Know,T.I.,Waiting On The World To Change,John Mayer,Like You'll Never See Me Again,Alicia Keys,Crack A Bottle,"Eminem, Dr. Dre & 50 Cent",Only Girl (In The World),Rihanna,You Make Me Feel...,Cobra Starship Featuring Sabi,Gangnam Style,PSY,It's Time,Imagine Dragons,Ain't It Fun,Paramore,I Don't F**k With You,Big Sean Featuring E-40,Let Me Love You,DJ Snake Featuring Justin Bieber,Sorry Not Sorry,Demi Lovato,All The Stars,Kendrick Lamar & SZA,Thotiana,Blueface
47,Arizona,Mark Lindsay,Wild World,Cat Stevens,Day Dreaming,Aretha Franklin,Higher Ground,Stevie Wonder,Eres Tu (Touch The Wind),Mocedades,Midnight Blue,Melissa Manchester,Sing A Song,"Earth, Wind & Fire",You're My World,Helen Reddy,Come Sail Away,Styx,Goodnight Tonight,Wings,Romeo's Tune,Steve Forbert,"De Do Do Do, De Da Da Da",The Police,Hooked On Classics,Royal Philharmonic Orchestra Conducted By Louis Clark,Don't Let It End,Styx,Running With The Night,Lionel Richie,Raspberry Beret,Prince And The Revolution,The Sweetest Taboo,Sade,Carrie,Europe,Out Of The Blue,Debbie Gibson,Sowing The Seeds Of Love,Tears For Fears,Ready Or Not,After 7,Dirty Little Secret,The All-American Rejects,Dirty Little Secret,The All-American Rejects,Dirty Little Secret,The All-American Rejects,Dirty Little Secret,The All-American Rejects,Dirty Little Secret,The All-American Rejects,Dirty Little Secret,The All-American Rejects,Dirty Little Secret,The All-American Rejects,Dirty Little Secret,The All-American Rejects,Dirty Little Secret,The All-American Rejects,Dirty Little Secret,The All-American Rejects,Dirty Little Secret,The All-American Rejects,Dirty Little Secret,The All-American Rejects,Dirty Little Secret,The All-American Rejects,Dirty Little Secret,The All-American Rejects,Dirty Little Secret,The All-American Rejects,Dirty Little Secret,The All-American Rejects,Lost Without U,Robin Thicke,Teardrops On My Guitar,Taylor Swift,If I Were A Boy,Beyonce,Live Like We're Dying,Kris Allen,Yeah 3X,Chris Brown,International Love,Pitbull Featuring Chris Brown,Power Trip,J. Cole Featuring Miguel,The Man,Aloe Blacc,B**** Better Have My Money,Rihanna,Don't Mind,Kent Jones,Bank Account,21 Savage,Stir Fry,Migos,Lucid Dreams,Juice WRLD
48,Fire And Rain,James Taylor,"When You're Hot, You're Hot",Jerry Reed,Black And White,Three Dog Night,Here I Am (Come And Take Me),Al Green,Radar Love,Golden Earring,"Don't Call Us, We'll Call You",Sugarloaf/Jerry Corbetta,HEAVEN MUST BE MISSING AN ANGEL,Tavares,Heard It In A Love Song,Marshall Tucker Band,This Time I'm In It For Love,Player,We Are Family,Sister Sledge,Daydream Believer,Anne Murray,This Little Girl,Gary U.S. Bonds,Wasted On The Way,"Crosby, Stills & Nash",HOW AM I SUPPOSED TO LIVE WITHOUT YOU,Laura Branigan,Sad Songs (Say So Much),Elton John,Suddenly,Billy Ocean,What You Need,INXS,Don't Disturb This Groove,The System,Don't You Want Me,Jody Watley,Cherish,Madonna,U Can't Touch This,M.C. Hammer,Savin' Me,Nickelback,Savin' Me,Nickelback,Savin' Me,Nickelback,Savin' Me,Nickelback,Savin' Me,Nickelback,Savin' Me,Nickelback,Savin' Me,Nickelback,Savin' Me,Nickelback,Savin' Me,Nickelback,Savin' Me,Nickelback,Savin' Me,Nickelback,Savin' Me,Nickelback,Savin' Me,Nickelback,Savin' Me,Nickelback,Savin' Me,Nickelback,Savin' Me,Nickelback,I'm A Flirt,R. Kelly Or Bow Wow (Featuring T.I. & T-Pain),When I Grow Up,The Pussycat Dolls,Turnin Me On,Keri Hilson Featuring Lil Wayne,Hard,Rihanna Featuring Jeezy,Moment 4 Life,Nicki Minaj Featuring Drake,Home,Phillip Phillips,Girl On Fire,Alicia Keys Featuring Nicki Minaj,This Is How We Roll,Florida Georgia Line Featuring Luke Bryan,Flex (Ooh Ooh Ooh),Rich Homie Quan,H.O.L.Y.,Florida Georgia Line,Can't Stop The Feeling!,Justin Timberlake,Too Good At Goodbyes,Sam Smith,Mo Bamba,Sheck Wes
49,Groovy Situation,Gene Chandler,If Not For You,Olivia Newton-John,Hurting Each Other,Carpenters,Superfly,Curtis Mayfield,Please Come To Boston,Dave Loggins,Poetry Man,Phoebe Snow,I'll Be Good To You,The Brothers Johnson,Carry On Wayward Son,Kansas,You Belong To Me,Carly Simon,Rock 'n' Roll Fantasy,Bad Company,I Can't Tell You Why,Eagles,Stop Draggin' My Heart Around,Stevie Nicks With Tom Petty And The Heartbreakers,Think I'm In Love,Eddie Money,China Girl,David Bowie,I Want A New Drug,Huey Lewis & The News,THE BOYS OF SUMMER,Don Henley,Talk To Me,Stevie Nicks,La Isla Bonita,Madonna,Desire,U2,When The Children Cry,White Lion,I Wish It Would Rain Down,Phil Collins,Don't Forget About Us,Mariah Carey,Don't Forget About Us,Mariah Carey,Don't Forget About Us,Mariah Carey,Don't Forget About Us,Mariah Carey,Don't Forget About Us,Mariah Carey,Don't Forget About Us,Mariah Carey,Don't Forget About Us,Mariah Carey,Don't Forget About Us,Mariah Carey,Don't Forget About Us,Mariah Carey,Don't Forget About Us,Mariah Carey,Don't Forget About Us,Mariah Carey,Don't Forget About Us,Mariah Carey,Don't Forget About Us,Mariah Carey,Don't Forget About Us,Mariah Carey,Don't Forget About Us,Mariah Carey,Don't Forget About Us,Mariah Carey,If Everyone Cared,Nickelback,Sensual Seduction,Snoop Dogg,I Hate This Part,The Pussycat Dolls,Young Forever,Jay-Z + Mr. Hudson,I Need A Doctor,Dr. Dre Featuring Eminem & Skylar Grey,Without You,David Guetta Featuring Usher,Heart Attack,Demi Lovato,Classic,MKTO,Nasty Freestyle,T-Wayne,We Don't Talk Anymore,Charlie Puth Featuring Selena Gomez,Mi Gente,J Balvin & Willy William Featuring Beyonce,Love.,Kendrick Lamar Featuring Zacari,Beautiful People,Ed Sheeran Featuring Khalid
50,Evil Ways,Santana,Groove Me,King Floyd,Coconut,Nilsson,Last Song,Edward Bear,Keep On Smilin',Wet Willie,How Long,Ace,Rock And Roll Music,The Beach Boys,New Kid In Town/victim Of Love,Eagles,Here You Come Again,Dolly Parton,Every 1's A Winner,Hot Chocolate,Don't Let Go,Isaac Hayes,Giving It Up For Your Love,Delbert McClinton,Love Is In Control (Finger On The Trigger),Donna Summer,Come Dancing,The Kinks,Love Is A Battlefield,Pat Benatar,One Night In Bangkok,Murray Head,Nasty,Janet Jackson,Bad,Michael Jackson,I Get Weak,Belinda Carlisle,18 And Life,Skid Row,Just Between You And Me,Lou Gramm,Sexy Love,Ne-Yo,Sexy Love,Ne-Yo,Sexy Love,Ne-Yo,Sexy Love,Ne-Yo,Sexy Love,Ne-Yo,Sexy Love,Ne-Yo,Sexy Love,Ne-Yo,Sexy Love,Ne-Yo,Sexy Love,Ne-Yo,Sexy Love,Ne-Yo,Sexy Love,Ne-Yo,Sexy Love,Ne-Yo,Sexy Love,Ne-Yo,Sexy Love,Ne-Yo,Sexy Love,Ne-Yo,Sexy Love,Ne-Yo,Get It Shawty,Lloyd,What You Got,Colby O'Donis Featuring Akon,Gotta Be Somebody,Nickelback,Blah Blah Blah,Ke$ha Featuring 3OH!3,Just A Dream,Nelly,Ass Back Home,Gym Class Heroes Featuring Neon Hitch,Love Somebody,Maroon 5,A Sky Full Of Stars,Coldplay,Only,"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown",Into You,Ariana Grande,Thunder,Imagine Dragons,This Is America,Childish Gambino,Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black
51,No Time,The Guess Who,Watching Scotty Grow,Bobby Goldsboro,Don't Say You Don't Remember,Beverly Bremers,Get Down,Gilbert O'Sullivan,Lookin' For A Love,Bobby Womack,Express,B.T. Express,Shop Around,Captain & Tennille,After The Lovin',Engelbert Humperdinck,Blue Bayou,Linda Ronstadt,Take Me Home,Cher,She's Out Of My Life,Michael Jackson,A Little In Love,Cliff Richard,Personally,Karla Bonoff,"Promises, Promises",Naked Eyes,Infatuation,Rod Stewart,If You Love Somebody Set Them Free,Sting,Your Love,The Outfield,Sign 'O' The Times,Prince,Sign Your Name,Terence Trent D'Arby,I Don't Want Your Love,Duran Duran,Something Happened On The Way To Heaven,Phil Collins,U And Dat,E-40 Featuring T-Pain & Kandi Girl,U And Dat,E-40 Featuring T-Pain & Kandi Girl,U And Dat,E-40 Featuring T-Pain & Kandi Girl,U And Dat,E-40 Featuring T-Pain & Kandi Girl,U And Dat,E-40 Featuring T-Pain & Kandi Girl,U And Dat,E-40 Featuring T-Pain & Kandi Girl,U And Dat,E-40 Featuring T-Pain & Kandi Girl,U And Dat,E-40 Featuring T-Pain & Kandi Girl,U And Dat,E-40 Featuring T-Pain & Kandi Girl,U And Dat,E-40 Featuring T-Pain & Kandi Girl,U And Dat,E-40 Featuring T-Pain & Kandi Girl,U And Dat,E-40 Featuring T-Pain & Kandi Girl,U And Dat,E-40 Featuring T-Pain & Kandi Girl,U And Dat,E-40 Featuring T-Pain & Kandi Girl,U And Dat,E-40 Featuring T-Pain & Kandi Girl,U And Dat,E-40 Featuring T-Pain & Kandi Girl,Face Down,The Red Jumpsuit Apparatus,It's Not My Time,3 Doors Down,Please Don't Leave Me,P!nk,Bottoms Up,Trey Songz Featuring Nicki Minaj,Motivation,Kelly Rowland Featuring Lil Wayne,Wanted,Hunter Hayes,I Will Wait,Mumford & Sons,Don't,Ed Sheeran,Elastic Heart,Sia,Gold,Kiiara,T-Shirt,Migos,Nonstop,Drake,Whiskey Glasses,Morgan Wallen
52,The Wonder Of You/Mama Liked The Roses,Elvis Presley,Woodstock,Matthews' Southern Comfort,Puppy Love,Donny Osmond,Reelin' In The Years,Steely Dan,Put Your Hands Together,The O'Jays,Lady,Styx,Saturday Night,Bay City Rollers,Jet Airliner,The Steve Miller Band,Peg,Steely Dan,Boogie Wonderland,"Earth, Wind & Fire",Fame,Irene Cara,America,Neil Diamond,ONE HUNDRED WAYS,Quincy Jones Featuring James Ingram,The Other Guy,Little River Band,Legs,ZZ Top,Obsession,Animotion,I'm Your Man,Wham!,Change Of Heart,Cyndi Lauper,I Want To Be Your Man,Roger,SECOND CHANCE,Thirty Eight Special,Black Cat,Janet Jackson,Far Away,Nickelback,Far Away,Nickelback,Far Away,Nickelback,Far Away,Nickelback,Far Away,Nickelback,Far Away,Nickelback,Far Away,Nickelback,Far Away,Nickelback,Far Away,Nickelback,Far Away,Nickelback,Far Away,Nickelback,Far Away,Nickelback,Far Away,Nickelback,Far Away,Nickelback,Far Away,Nickelback,Far Away,Nickelback,The Way I Live,Baby Boy Da Prince Featuring Lil Boosie,Better In Time,Leona Lewis,Paparazzi,Lady Gaga,Do You Remember,Jay Sean Featuring Sean Paul & Lil Jon,Stereo Love,Edward Maya & Vika Jigulina,Drunk On You,Luke Bryan,Try,P!nk,Na Na,Trey Songz,Cool For The Summer,Demi Lovato,Exchange,Bryson Tiller,Rake It Up,Yo Gotti Featuring Nicki Minaj,Heaven,Kane Brown,God's Country,Blake Shelton
